"code","campaign","no2","lat","lon"
"197301","facade",17.9,51.03413,4.746748
"197307","facade",38.7,51.22473,4.435128
"197310","facade",37.7,51.19627,4.408424
"197313","facade",16.8,50.82739,3.8113589999999995
"197319","facade",31.4,51.20602,4.428364
"197322","facade",21.7,51.14424,4.274902
"197334","facade",21.0,50.90078,3.0199380000000002
"197337","facade",21.5,51.2136,2.922182
"197343","facade",22.1,50.919649613102706,5.31973680770313
"197361","facade",18.3,51.10771,4.578544
"197376","facade",28.0,50.97648,3.5339059999999995
"197400","facade",17.5,51.0364,3.470929
"197403","facade",26.5,51.115359999999995,4.375076
"197406","facade",22.7,50.91445,3.199158
"197415","facade",18.3,50.878209999999996,4.746232
"197418","facade",24.5,51.2273,3.235174
"197424","facade",32.2,51.08804,4.137021
"197430","facade",20.7,51.03589,3.8121059999999996
"197439","facade",23.7,51.170790000000004,4.983639
"197448","facade",35.5,51.21955,4.437312
"197451","facade",30.9,51.1748,4.435691
"197457","facade",23.4,51.13463,4.472119999999999
"197475","facade",26.6,50.995290000000004,3.737103
"197481","facade",23.5,50.98611,4.146855
"197487","facade",33.8,51.169140000000006,4.465559
"197493","facade",29.4,51.19748,4.405764
"197499","facade",17.7,51.110420604579495,3.62508666924339
"197508","facade",18.8,51.142590000000006,4.6421660000000005
"197526","facade",21.0,51.025729999999996,4.183498999999999
"197556","facade",15.0,51.322759999999995,4.427951999999999
"197574","facade",20.8,51.06527,4.638485
"197589","facade",42.9,51.19777,4.428605
"197595","facade",18.9,50.93097,4.660615
"197604","facade",26.1,51.32078,4.971028
"197619","facade",27.2,51.168,4.397641999999999
"197622","facade",44.4,51.067809999999994,3.7284599999999997
"197643","facade",24.2,51.13933,4.345772
"197649","facade",37.9,51.313790000000004,4.426248
"197664","facade",38.0,51.206340000000004,4.240749
"197673","facade",16.5,50.75528,5.215189
"197682","facade",21.0,51.34635,4.67425
"197685","facade",37.5,51.14589,4.084817
"197688","facade",24.6,51.11078,3.7236230000000003
"197691","facade",19.2,51.18517,4.953678
"197697","facade",18.2,50.9491,5.299649
"197703","facade",25.5,50.8825,4.480336
"197724","facade",22.0,51.213600785806,4.570516694433509
"197727","facade",17.8,51.117340000000006,3.094138
"197739","facade",25.1,51.12684,4.039914
"197748","facade",26.7,51.2465242274055,4.45730371902334
"197751","facade",37.1,50.8238,3.227643
"197760","facade",20.8,51.092220000000005,4.332451
"197766","facade",34.4,51.209109999999995,4.453667
"197781","facade",22.2,50.8384,3.265462
"197784","facade",16.1,51.078140000000005,3.3982040000000002
"197796","facade",29.1,51.11466,3.997319
"197820","facade",23.8,50.77548,4.50465
"197826","facade",28.2,51.16519,4.4399120000000005
"197835","facade",23.6,51.178000000000004,4.4485269999999995
"197859","facade",18.5,51.09153,4.224423000000001
"197865","facade",20.1,50.752179999999996,5.787847
"197868","facade",25.9,51.19308,3.203837
"197877","facade",25.9,50.82724,3.221192
"197880","facade",15.5,50.770109999999995,4.059175
"197883","facade",16.5,50.89437,4.794752
"197886","facade",30.4,51.15698,4.485091000000001
"197889","facade",28.8,50.93417,3.150341
"197898","facade",16.1,50.95952,5.509967
"197907","facade",37.7,51.21666,4.437785
"197922","facade",21.6,50.78256,3.044911
"197931","facade",20.7,50.77527,4.244518
"197940","facade",20.3,50.8604,4.704585
"197943","facade",26.3,50.9542750962531,3.13167386554286
"197979","facade",19.4,50.99804,3.097545
"197982","facade",31.6,51.25912,4.445519
"197988","facade",29.5,51.20153,4.401904
"197994","facade",15.6,50.746140000000004,4.124058
"198048","facade",35.2,51.203140000000005,4.418424
"198054","facade",23.8,51.03217,3.7098190000000004
"198057","facade",26.8,51.213409999999996,2.936887
"198060","facade",30.9,50.91988,3.207049
"198084","facade",36.2,51.064640000000004,3.6919480000000005
"198099","facade",33.7,51.204879999999996,4.4014169999999995
"198114","facade",30.2,50.80068,4.2914959999999995
"198117","facade",20.9,50.90092,2.850483
"198120","facade",19.8,50.990359999999995,3.163939
"198129","facade",28.5,51.22067,4.3204769999999995
"198144","facade",22.5,51.032709999999994,3.709936
"198156","facade",39.3,51.13107,4.562031
"198171","facade",23.7,51.1850095433858,3.18968300405705
"198186","facade",44.0,50.92648,3.956142
"198192","facade",23.5,50.95535,4.7479059999999995
"198201","facade",28.3,50.841229999999996,4.242874
"198204","facade",19.7,51.1479,4.619878
"198210","facade",22.3,51.001870000000004,4.444694
"198213","facade",16.9,50.8718,4.627222
"198225","facade",15.9,50.777190000000004,5.078663
"198228","facade",21.8,50.94288,4.753826999999999
